step	Energy 					Momentum
449  1.0037450172412874e+00  1.2619608272327332e+00
450  1.0037450172412841e+00  1.2581604376135347e+00
451  1.0037450172412876e+00  1.2586182163431208e+00
452  1.0037450172412863e+00  1.2582836016200347e+00
453  1.0037450172412843e+00  1.2585165758010033e+00
454  1.0037450172412827e+00  1.2601290310094992e+00
455  1.0037450172412836e+00  1.2599427164400581e+00
456  1.0037450172412845e+00  1.2588840409100255e+00
457  1.0037450172412841e+00  1.2600953657291247e+00
458  1.0037450172412816e+00  1.2572577262205331e+00
459  1.0037450172412874e+00  1.2583371973226465e+00
460  1.0037450172412883e+00  1.2574729593110738e+00
461  1.0037450172412827e+00  1.2576233249686504e+00
462  1.0037450172412843e+00  1.2585588445319260e+00
463  1.0037450172412845e+00  1.2573425776666352e+00
464  1.0037450172412881e+00  1.2592476840774895e+00
465  1.0037450172412867e+00  1.2602388201309296e+00
466  1.0037450172412825e+00  1.2594365853175649e+00
467  1.0037450172412832e+00  1.2582896582957250e+00
468  1.0037450172412836e+00  1.2584018267387231e+00
469  1.0037450172412836e+00  1.2585203939938459e+00
470  1.0037450172412845e+00  1.2556753802678913e+00
471  1.0037450172412874e+00  1.2552424593177982e+00
472  1.0037450172412843e+00  1.2570244304617395e+00
473  1.0037450172412805e+00  1.2569416458084324e+00
474  1.0037450172412843e+00  1.2548209095989422e+00
475  1.0037450172412854e+00  1.2571048574967201e+00
476  1.0037450172412865e+00  1.2574744495485064e+00
477  1.0037450172412832e+00  1.2566742478388730e+00
478  1.0037450172412850e+00  1.2552163235135385e+00
479  1.0037450172412843e+00  1.2566762862788123e+00
480  1.0037450172412878e+00  1.2565923761285014e+00
481  1.0037450172412847e+00  1.2567277654664919e+00
482  1.0037450172412865e+00  1.2570997214020119e+00
483  1.0037450172412836e+00  1.2568053880171306e+00
484  1.0037450172412874e+00  1.2586625901284507e+00
485  1.0037450172412887e+00  1.2585846154230096e+00
486  1.0037450172412825e+00  1.2571564022814126e+00
487  1.0037450172412872e+00  1.2575902772275021e+00
488  1.0037450172412834e+00  1.2572511860796567e+00
489  1.0037450172412821e+00  1.2584308554723571e+00
